location,number,project,x,y
Harford and Alameda,1310,Harford Rd,-76.592769787424359,39.320478594226863
Harford and Tivoly,1311,Harford Rd,-76.591145882793526,39.322129844480479
Harford and Fenwick,1312,Harford Rd,-76.590789523428185,39.322585972163317
Harford and Hugo,1313,Harford Rd,-76.589829681328524,39.323849590957131
Belair and Ravenwood,1401,Belair Rd,-76.582190468824152,39.31532303105417
Belair and Elmora,1402,Belair Rd,-76.579655350693287,39.316015002473243
Belair and Lyndale,1403,Belair Rd,-76.579763307694563,39.315646208380038
Belair and Elmley,1404,Belair Rd,-76.578579370095468,39.316651146669983
Belair (across from shopping center),1405,Belair Rd,-76.577467734275231,39.318271431784339
Belair and Cliftmont,1406,Belair Rd,-76.576560273839576,39.319629088210981
Belair and Mareco,1407,Belair Rd,-76.575053714978438,39.320451434005207
Belair and Clifton Park Terrace,1408,Belair Rd,-76.574454905190024,39.321314464994281
Belair and Erdman,1409,Belair Rd,-76.573810873579617,39.32177331358092
Belair and Sheldon,1410,Belair Rd,-76.565013598755243,39.328073611119592
Rusty Scupper,1901,Inner Harbor,-76.60772904753685,39.281919479606877
Rash Field,1902,Inner Harbor,-76.609304845333099,39.281859271602698
Carousel,1903,Inner Harbor,-76.610000878572464,39.281846814767782
Science Center,1904,Inner Harbor,-76.611624956130981,39.2820066773143
Spirit Of Baltimore,1905,Inner Harbor,-76.610810000000001,39.285747000000001
Visitor Center,1906,Inner Harbor,-76.612484604120255,39.284265475336689
Light Street Food Hall,1907,Inner Harbor,-76.61190927028656,39.285390694963333
Constellation,1908,Inner Harbor,-76.611388921737671,39.285951221980007
Constellation Pier,1909,Inner Harbor,-76.610821634531021,39.285254714584973
Trade Center,1910,Inner Harbor,-76.610176563262939,39.286001046386623
Pier 5 Hotel,1911,Inner Harbor,-76.606008410453796,39.283756836916083
Pier 5 Lighthouse,1912,Inner Harbor,-76.605211794376373,39.28337483665311
Pier 6 Pavillion,1913,Inner Harbor,-76.604619999999997,39.283760999999998
Charles and Conway,1920,Federal Reserve,-76.614453475966073,39.284298515827047
Sharp and Conway,1921,Federal Reserve,-76.617647055555054,39.283978495492491
182 Hamburgst,1922,Federal Reserve,-76.61803074859877,39.278279435050841
Pratt and Sharp,1923,Federal Reserve,-76.618011900419958,39.286162239365261
Pratt and Light,1924,Federal Reserve,-76.613997565987503,39.286269232737787
NE Market FoodCt,1941,Northeast Market,-76.587517,39.298141
NE Market North,1942,Northeast Market,-76.587517,39.298141
NE Market South,1943,Northeast Market,-76.587517,39.298141
NE Market Middle,1944,Northeast Market,-76.587517,39.298141
McElderry & Chester,1945,Northeast Market,-76.587779999999995,39.297525
Avenue Market Front,1961,Avenue Market,-76.635647,39.303537
Avenue Market Middle,1962,Avenue Market,-76.635647,39.303537
Avenue Market Back,1963,Avenue Market,-76.635647,39.303537
Pennsylvania and  Laurens,1964,Avenue Market,-76.635589999999993,39.304338999999999
Fremont and Laurens,1965,Avenue Market,-76.636830000000003,39.303421999999998
Avenue Market Parking Lot,1966,Avenue Market,-76.634952407020364,39.303664891386482
Southwest Corner,1980,Hollins Market,-76.635958,39.287529
Northwest Corner,1981,Hollins Market,-76.635958,39.287529
Aisle Cam 1,1982,Hollins Market,-76.635958,39.287529
Aisle Cam 2,1983,Hollins Market,-76.635958,39.287529
Aisle Cam 3,1984,Hollins Market,-76.635958,39.287529
Hollins St and Carrollton,1985,Hollins Market,-76.636679999999998,39.287618999999999
Boyd St Side Entrance,1986,Hollins Market,-76.635222600479935,39.287292560487053
Arlington Ave East Entrance,1987,Hollins Market,-76.634676307072198,39.287365569154261
553 Dolphin St,2001,McCulloh,-76.628770388800007,39.299709886899997
569 Dolphin St,2002,McCulloh,-76.628246647200001,39.2994741658
520 Hoffman St,2003,McCulloh,-76.627819812599995,39.299569032500003
517 Dolphin St,2004,McCulloh,-76.628212820200005,39.300194856899999
534 Preston St,2005,McCulloh,-76.627014840900003,39.2994445713
503 Dolphin St,2006,McCulloh,-76.627710906700003,39.300440885
535 Hoffman St,2007,McCulloh,-76.627951580900003,39.299036022700001
570 Preston St,2008,McCulloh,-76.627312922300007,39.298552511899999
556 Preston St,2009,McCulloh,-76.626914038199999,39.298862438299999
516 Preston St,2010,McCulloh,-76.626522870900004,39.299079561500001
514 Preston St,2011,McCulloh,-76.626601136299996,39.299364911700003
1020 Druid Hill Rd,2012,McCulloh,-76.626479001500002,39.299944205000003
1135 Tiffany Ct,2013,McCulloh,-76.625956896399998,39.302018245500001
1101 Tiffany Ct,2014,McCulloh,-76.625438251999995,39.301602996699998
1035 Tiffany Ct,2015,McCulloh,-76.625379849189699,39.300995861192078
1001 Tiffany Ct,2016,McCulloh,-76.624463592400005,39.300815108099997
440 Oxford Ct,2017,McCulloh,-76.625118487500004,39.300550491700001
443 Manse Ct,2018,McCulloh,-76.626496719299993,39.301373687800002
1134 Stoddard Ct,2019,McCulloh,-76.627157996400001,39.3011098319
1100 Stoddard Ct,2020,McCulloh,-76.626653211600001,39.300701899499998
1034 Stoddard Ct,2021,McCulloh,-76.626190746999995,39.300325881200003
1000 Stoddard Ct,2022,McCulloh,-76.625654182000005,39.299891022700002
442 Walton Ct,2023,McCulloh,-76.624747493800001,39.299978103100003
900 Stoddard Ct,2024,McCulloh,-76.624478359600005,39.2989138943
1638 Bruce Ct (rear),2101,Gilmore,-76.644212532490343,39.307301043898839
1638 Bruce Ct,2102,Gilmore,-76.645597160999998,39.307275671799999
1600 Bruce Ct (rear),2103,Gilmore,-76.644212532490343,39.307301043898839
1605 Bruce Ct,2104,Gilmore,-76.644212532490343,39.307301043898839
1601 Bakbury Ct,2105,Gilmore,-76.643890288047984,39.307427718714969
1679 Bakbury Ct,2106,Gilmore,-76.645106384599998,39.307862028199999
1678 Mountmor Ct,2107,Gilmore,-76.642965181000818,39.307759654714587
1600 Mountmor Ct,2108,Gilmore,-76.6447164386,39.3068001197
1600 Vincent Ct,2109,Gilmore,-76.644299108799999,39.306818836600002
1606 Vincent Ct,2110,Gilmore,-76.644448813099999,39.3074507205
1679 Vincent Ct,2111,Gilmore,-76.643610028536614,39.307471450870644
1641 Vincent Ct,2112,Gilmore,-76.644124656900004,39.307393215899999
1600 Spray Ct,2113,Gilmore,-76.64405307738943,39.30586749958497
1605-2 Spray Ct,2114,Gilmore,-76.644515020499995,39.305785955600001
1601-8 Spray Ct,2115,Gilmore,-76.644091696100006,39.305900989800001
1500 Pressman Ct,2116,Gilmore,-76.643905963899996,39.305455128600002
1519 Presser Ct,2117,Gilmore,-76.643559925299996,39.305726004100002
Prestman St and Gilmor St,2118,Gilmore,-76.643798951040964,39.305304986490292
1638 Balmor Ct,2119,Gilmore,-76.644086363100001,39.305191825999998
1458 Mountmor Ct,2120,Gilmore,-76.6446301159,39.305247873799999
1428 Mountmor Ct,2121,Gilmore,-76.644510936000003,39.304809059500002
1629 Balmor Ct (rear),2122,Gilmore,-76.643798951040964,39.305304986490292
1401 Mountmor Ct,2123,Gilmore,-76.644281285100007,39.3044347827
1639 Booker Ct,2124,Gilmore,-76.644048334900006,39.304472998199998
1601 Booker Ct,2125,Gilmore,-76.643408585399996,39.304574795999997
1629 Lorman Ct,2126,Gilmore,-76.643863016300003,39.304000985000002
1631 Lorman Ct,2127,Gilmore,-76.644225277199993,39.3040667402
1649 Lorman Ct,2128,Gilmore,-76.643873696150877,39.303959339698046
1658 Delano Ct,2129,Gilmore,-76.643880475942325,39.303491577820743
1628 Delano Ct,2130,Gilmore,-76.643845530500002,39.303760068300001
1600 Delano Ct,2131,Gilmore,-76.643880475942325,39.303491577820743
1521 Mountmor Ct,2132,Gilmore,-76.644573904997316,39.30729341320874
800 Abbott Ct,2201,Latrobe,-76.606166438399995,39.301252981099999
856 Abbott Ct,2202,Latrobe,-76.6050176161,39.301329715000001
818 Webb Ct,2203,Latrobe,-76.605686922800004,39.301008857200003
800 McAleer Ct,2204,Latrobe,-76.605957631400003,39.3002994414
834 McAleer Ct,2205,Latrobe,-76.605297114799995,39.300311914200002
864 McAleer Ct,2206,Latrobe,-76.604740619899999,39.300041873700003
831 McAleer Ct,2207,Latrobe,-76.6052816304,39.299977143500001
859 Homewood Ave,2208,Latrobe,-76.605899537599996,39.299950172099997
820 Hillman Ct,2209,Latrobe,-76.605709727499999,39.299387499600002
819 Hillman Ct,2210,Latrobe,-76.606075805900005,39.299349693300002
819 Homewood Ave,2211,Latrobe,-76.604304248700004,39.301308069100003
916 Webb Ct,2212,Latrobe,-76.603732930299998,39.300778553999997
921 Webb Ct,2213,Latrobe,-76.604302853899995,39.300437637400002
922 Ashland Ct,2214,Latrobe,-76.603784759600003,39.300222632100002
859 McAleer Ct,2215,Latrobe,-76.604397336999995,39.299822194800001
943 Wilmot Ct,2216,Latrobe,-76.603901042800004,39.299207368099999
1000 Abbott Ct,2217,Latrobe,-76.602739491299999,39.3013607878
1101 Webb Ct,2218,Latrobe,-76.602714787799997,39.300600819000003
1000 Ashland Ct,2219,Latrobe,-76.602871424200004,39.300271800099999
1020 McAleer Ct,2220,Latrobe,-76.603117526099993,39.299868547199999
1001 McAleer Ct,2221,Latrobe,-76.603547252499993,39.299715513499997
1116 McAleer Ct,2222,Latrobe,-76.602135833000006,39.300148589199999
1130 McAleer Ct,2223,Latrobe,-76.602239340200001,39.299909153199998
1101 Wilmot Ct,2224,Latrobe,-76.602728710899996,39.299287831299999
901 Valley Ct,2225,Latrobe,-76.604705999999993,39.300227999999997
901 Valley Ct,2226,Latrobe,-76.604705999999993,39.300227999999997
901 McAleer Ct,2227,Latrobe,-76.604635999999999,39.29965
200 Spring Ct,2301,Perkins,-76.598313985600001,39.288974239799998
299 Spring Ct,2302,Perkins,-76.598044038200001,39.287503727000001
264 Ballou Ct,2303,Perkins,-76.597513632100004,39.2880273743
229 Ballou Ct,2304,Perkins,-76.597212806200005,39.288607452299999
269 Dallas Ct,2305,Perkins,-76.596439407899993,39.288149116
231 Mason Ct,2306,Perkins,-76.595773403099997,39.288642230000001
299 Mason Ct,2307,Perkins,-76.595752986899996,39.2876245462
295 Mason Ct,2308,Perkins,-76.595630791100007,39.2876798677
200 Herring Ct,2309,Perkins,-76.595016511099999,39.289112821300002
270 Herring Ct,2310,Perkins,-76.595337532200006,39.2880371173
299 Herring Ct,2311,Perkins,-76.594826320099997,39.2876651606
354 Spring Ct,2312,Perkins,-76.598156452799998,39.286491394700001
Community Building,2313,Perkins,-76.597738824900006,39.286951707900002
1413 Gough St,2314,Perkins,-76.597432644899996,39.287355871700001
319 Ballou Ct,2315,Perkins,-76.597126314299999,39.287110948600002
330 Ballou Ct,2316,Perkins,-76.597370629099998,39.2868832013
326 Dallas Ct,2317,Perkins,-76.596626179500007,39.287014668899999
336 Mason Ct,2318,Perkins,-76.596044637199995,39.2868506334
329 Mason Ct,2319,Perkins,-76.5957165457,39.286979638600002
326 Herring Ct,2320,Perkins,-76.595261173699996,39.287065456100002
231 Orleans St,2401,PVG,-76.604043038100002,39.294578571199999
310 Forrest St,2402,PVG,-76.603084520500005,39.294542796099996
1110 New Hope Cir,2403,PVG,-76.601852599500006,39.293739504800001
1021 New Hope Cir,2404,PVG,-76.602703800300006,39.293245954500001
1008 New Hope Cir,2405,PVG,-76.603234208499998,39.293911856299999
1124 Colvin St,2406,PVG,-76.601830969000005,39.292945798600002
215 Saint Mathews St,2407,PVG,-76.603893050799996,39.293632188799997
1100 Colvin St,2408,PVG,-76.603336866999996,39.292618239699998
SE Corner of N Tot Lot,2409,PVG,-76.602139996199995,39.294234879599998
NW Corner of S Tot Lot,2410,PVG,-76.602212902399998,39.293295260000001
SE Corner of W Tot Lot,2411,PVG,-76.603181076499993,39.2930222098
Courtyard Play Area,2412,PVG,-76.601326081699995,39.293431252600001
NE Elderly Bldg Central Ave,2413,PVG,-76.600139368300006,39.293473126199999
NE Community Center,2414,PVG,-76.601228335399995,39.293917434000001
SE Elderly Bldg CentralAve,2415,PVG,-76.600115942800002,39.292853416200003
SW Elderly Bldg FayetteSt,2416,PVG,-76.600696993599996,39.292815763599997
Elderly Bldg Court Yard,2417,PVG,-76.600684489599999,39.293000499400002
Youth Center Fayette St,2418,PVG,-76.602983333300003,39.291816666700001
Daycare Center 1106 Fayette St,2419,PVG,-76.602226701899994,39.292033634399999
Daycare Center Play Area,2420,PVG,-76.601997844699994,39.292481495899999
NW Senior Center,2421,PVG,-76.600734129800003,39.2934769883
Greenmount and Madison,2501,Dept of Corrections,-76.608037511051066,39.300040108901513
Madison and Constitution,2502,Dept of Corrections,-76.609951448853508,39.29889728324023
Monument and Fallsway,2503,Dept of Corrections,-76.610634628978289,39.297164133589519
Eager St (Widows Peak),2504,Dept of Corrections,-76.609774318474194,39.30137500901742
Warden St Lot,2505,Dept of Corrections,-76.61026027300305,39.301928097661524
Fallsway and Eager,2506,Dept of Corrections,-76.611037617352324,39.300916139855531
JFX South,2507,Dept of Corrections,-76.61106079564594,39.300441691635839
JFX North,2508,Dept of Corrections,-76.611231166926743,39.299624613118652
N Charles St and Center St,2601,Midtown,-76.615371245613787,39.296588623907333
N Charles St and Madison St,2602,Midtown,-76.615859643155588,39.298204874747853
N Charles St and Read Ave,2603,Midtown,-76.615747008035569,39.299588925174533
Park Ave and Read St,2604,Midtown,-76.61862571161997,39.300242641434217
N Charles St and Eager St,2605,Midtown,-76.615753753359144,39.300928290627837
N Charles St and Chase St,2606,Midtown,-76.61592230885968,39.302116821383819
N Charles St and E Biddle St,2607,Midtown,-76.615908899597272,39.303319497011273
N Charles St and Preston St,2608,Midtown,-76.616370318828061,39.304624295025803
N Charles St and Mt Royal Ave,2609,Midtown,-76.616364223213708,39.305447692495576
N Charles St and Lanvale St,2610,Midtown,-76.61610089033239,39.308870460173502
N Charles St and North Ave,2611,Midtown,-76.616428653173926,39.311620738528809
N Charles St and 20th St,2612,Midtown,-76.616610334390259,39.313036473695789
